0034-anti-human-CD3 0048-anti-human-CD45 0072-anti-human-CD4 0100-anti-human-CD20 0052-anti-human-CD33 0064-anti-human-CD123 0081-anti-human-CD14 0136-anti-human-IgM 0159-anti-human-HLADR 0066-anti-human-CD7
(Intercept) 17.7491701655402 10.1741070439971 7.73419909023462 4.74547001918189 5.56932756325769 0.302223622552711 3.70771907114745 0.000413014589132186 11.8126726878672 20.0112709540697
S100A8 0.000280569913094908 0 0 0 0 0 0 0 0 0
IGKV3-11 0.000243206404770327 0 0 6.57917728518327e-05 0 0 0 0 0 -0.000331489653073396
S100A9 0 0 0 0 0.000440544727446807 0 0.00109836314707787 0 0 0
IGKV3-20 0.000667420676719811 0.000722368691296031 0.000179571002973708 0 0 0 0 0.00321411900041944 0.000625404835351932 0.000173776321953491
IGLV2-14 0 0.000671927039617574 0 0.000884301014428543 0.000288802032506731 0 0 0.000264253760294188 0.00040738066228883 0
IGKV1-5 0.00065023240526619 0 8.01409076596487e-05 0.00204329707550822 6.51238278618589e-05 0 0 0.000983750784251301 0.00154428176438175 0
IGHV4-39 0 0.000875452674511117 -0.00215848131812624 0.00116570995693096 0.000183117821303093 0 0 6.30334661821319e-05 0.000101472901228238 -0.000178266263579415
IGKV4-1 0.000114881660798757 0.000112467512920889 0 0.00184953646068502 -0.000356563892862239 0 0 0.00228366324177565 0 0
IGKV3-15 0.00089733766278579 0 -0.00112129880202264 0.00039201976089098 -0.000293907057587002 0 0 0 0.000350716267683181 0
LYZ 0 0 0 0 0.000317002227482432 0 0 0 0 0
IGLV1-40 -0.00175077699321077 0 -0.000818578055716048 0.00158368967777085 0 0 0 0 0 -0.00116192387271937
IGHV3-23 -0.000578412898903327 0.000832326258492871 -0.000638301636061355 0.00146667167668019 0 0 0 0.00449645270412144 0.000344664357345249 -0.000224007771456894
IGHV3-30 -0.000151375324792625 0.000107597967539094 0 0 0 0 0 0 5.67445964957787e-05 -8.57745482384139e-06
CST3 0 0 0 0 0.000214594065709409 0 0 0 0 0
IGHV1-18 0.00055824327270682 0 0 0.00154276429447428 0 0 0 0.000964370614122316 0.00129918186495002 0
IGHV4-34 -0.000406449086647834 -0.00111372300339526 -0.000674055270324707 0 -0.000786866691121881 0 0 -0.00271163356467234 0 -0.000485046633677065
IGLV1-51 -0.000515159687104475 0 0 0 0 0 0 0.00208038084248185 0.00132686206388536 -0.000666527683313521
IGHV3-7 0.00479832401404037 0.00147745387529693 0.00345104045456818 0 2.30344497493247e-05 0 0 0.00425504774282249 4.7936348666602e-05 0.00396962907082334
IGLV3-19 0 0.0019982560552809 0 0.00220384408852286 0 0 0 0 0 0
PPBP 0.00669559834558095 0.00567892792702151 0.00758216872780211 0.0094462757386853 0.00644767506555638 0.00821769481519185 0.00866870201382663 0 0.005675124364388 0.00659456895356119
IGLV2-8 -0.00129768712626359 0 -0.000503472315528763 0 -0.000975370798937825 0 0 0.00353619059323542 0 0
IGLV3-21 0 0 -0.000320998803208208 0.00235298008749989 -0.000851205870972028 0 0 0 0 0
IGHV3-21 0.000782803817699753 0 0.000668002478543241 0.00213035815023726 0.000174065978896187 0 0 0 0 4.64982038210444e-05
IGHV1-69D 0 0 -0.000510698081764868 0 0 0 0 0 0.00075893621552984 -6.39876554612457e-05
CD74 0 0 0 0 0 0 0 0 0 -0.00749849838004853
IGHV2-5 -0.00019572434277639 0 0 0 0 0 0 0.0014789487471262 0 0
HLA-DRA -0.00174517202662146 0 -0.00030956000867453 0 0 0 0 0 0.00656162727083047 -0.00049593903523107
IGLV3-1 0.000812806408077052 0.00138806463291211 0.00146101173548075 0.00436853848981172 0.000330873873404872 0 0 0 0.00153089186677195 0
IGHV3-15 -0.00146130596715213 0 -0.00219767032278714 0.000292799375013705 0 0 0 0 0.000669916280730207 -0.000788608973705107
TRBV7-2 0.000298903070533704 0 0.000213891170574098 0 7.17403191939757e-05 0 0 0 0 0
IGHV4-4 0 -0.000690919650696972 -0.000395708236898423 0 0 0 0 0 0 0
IGLV1-47 0 0.00153033525364503 0.0024427505530349 0.0027578621380239 0 0 0.000850982367037184 0.00261919983367455 0.000800709296289137 1.4142896303841e-05
IGHV1-2 -0.00167373053570774 0 -0.00254832014351867 0.0026073958388809 0 0 0 0 0 -0.00112595969432327
LYPD2 0 0 0 0 -0.000444589919899241 0 -0.00317452538734493 0 0 0
S100A12 0 0 0 0 -0.00239998419450854 0 0 0 -0.00177352018273314 0
IGKV2-30 0 0.000824706658904849 8.75346047317562e-05 0.000226516411743591 0 0 0 0.00573805514565994 0.00036217683547377 0
IGHV1-3 0.00236474667585569 0 0.000191497402408952 0 0 0 0 0 0 0.000610949839063271
IGHV3-11 0 0.00138601237137973 0 0.00119271738964547 0 0 0 0 0 0
HLA-DRB1 0 0 -0.00151809824988264 0 0 0 0 0 0.00104266087849225 -0.00125347627963579
AC233755.2 0.000193251590991572 0 0 0 3.35136211459342e-05 0 0 0 0 0
IGLV1-44 -0.000494041266334378 0 -0.00137436466713476 0 0 0 0 0 0 -0.000324945242692096
FOS -0.000482308268585595 0 -0.000287345930017252 0 0 0 0 0 0 0
TRBV12-3 -0.000300800455250127 0 0.000753141738557607 0 -0.000108196638725237 0 0 0 0 0
IGHV5-51 0.00255896208579965 0.000411766056220894 0.00333235180802688 0.00320620236688461 0.000657327604834945 0 0 0.00116296391350953 0 0
IGLV2-23 -0.000131656519775835 0.000114468001246016 0 4.02141361172988e-05 0 0 0 0.00130336624140195 0 0
FCN1 0 0 0 0 0.000280641550132396 0 0 0 0 0
TRBV10-3 0.000274525976384439 0 0 0 0 0 0 0 0 0
