0032-anti-human-CD154 0072-anti-human-CD4 0047-anti-human-CD56 0034-anti-human-CD3 0050-anti-human-CD19 0081-anti-human-CD14 0046-anti-human-CD8 0083-anti-human-CD16 0390-anti-human-CD127
(Intercept) 0.507403195965952 3.34966455497232 0.737336930671744 3.95331124647034 1.02242538895902 1.12598836620902 1.99872532419918 0.977163377310764 1.41761255153618
MTSS1L 0 0 0 3.09911481862596 0.534708022403743 1.23381557434132 5.19129432546517 0 0
NRAV 0 0.10208604449051 0 0.365562976521237 0 0 -0.156569836646896 0 0
SEMA5A 0 0 0 -2.08130470681813 0 0 1.19913141284439 0 0
OPHN1 0 -4.54795626922143 -0.874279488236976 0.214615175965728 -1.50152035547547 0 0 0 0
LINC01151 0 0 0 -1.90438786380473 0 0 0 0 0
EGF 12.790744525001 0 7.84900562782484 0 26.2804379532815 0.494896727261611 8.591916648989 20.1243622318529 16.1731552508353
XK 0 -1.10529099250391 0 0 0 0 0 0 0
AP001189.3 0 0 0 1.15722176324343 1.40851584907598 3.0491329653757 3.72106962545545 5.70593500160686 1.1722855880284
MFSD2B 0 0 1.66151106738647 0.106803669462053 0 0 -0.872331195992945 0 0
DDO 0 5.39266012562377 0 17.9724907583698 0 2.78700439335625 0 0 0
CDCP1 0 -0.121749608466011 0 0 0 -0.00627241868546094 -0.193079569135609 -0.128253875061484 0
GFRA2 0 -4.05791440289613 -0.190767218583575 -5.32306756431388 0 0 -3.55885051778713 0 -1.37817061626012
MAPK12 0 -0.0124834604965194 0 0 -0.0774497458631245 0 0.156478418988022 0 0
SAMD13 0 -1.44369962712615 0 -0.741381482301949 0 0 0 0 0
CDH24 0 -0.0874114266456183 0 -0.657505939367743 0 0 0.403012449368574 0 0
PPP1R9A 0 -0.962556714008972 1.02863996064416 -0.192154087809951 0 0 0.465562563990973 -0.953560566045478 0
AMOTL1 0 -0.341407582264334 0 -0.83721232336918 0 0 -0.105226001259229 0 0
AC132872.3 0 6.00490968200679 6.75035159618158 0.0584341544085496 8.74120222860128 6.46430425765108 0 0 0.240278265250851
GRAMD1C 0 0 0 -0.616283828570955 -0.060398635562751 0 0.377935899276965 0 0
AL035446.1 0 -5.76882136933244 -0.940276741555469 -31.9960207346562 -4.03739802153821 0 -10.0305841168385 -6.78990004236208 -1.57784849545439
KATNAL2 0 0 0 0 0 0 -0.0998780143249802 0 0
ARHGEF18 0 0 0 -0.0448794476678703 0 0 0 0 0
CLDN5 0 0 0 0 0 0 -0.138171406759204 0 0
PTPRB 0 0 -0.0597262384339496 0.281308508345671 0 0 -0.329790887157117 0 0
AC004130.1 0 0.966026575744659 0 0 15.103309444946 0 8.140385271775 48.1043135324618 0
AL133467.1 0 0 0 0 0.527756451960325 0 0.127621065256893 0 0
TNFSF13 0 -0.532782126268673 0 -0.277458302935153 0 0 -0.00177722867068431 0 0
MAP2 0 -3.44656146186088 0 -3.42288393162558 12.881682981198 0 0.37539106883312 -3.08502451546239 0
SYT1 0 -23.4956803205142 0 -18.2225948276651 0 3.55750638247074 -5.07762720390697 0 0
LTB 0 0.0697277962361318 0 0.146535010809534 0 0 0.0377239512186565 0 0.0170591943469542
RPL39 0 0 0 0 0 0 0 0 0
RPL32 0 0 0 0 0 0 0 0 0
RPLP2 0 0 0 0 0 0 0 0 0
RPL34 0 0 0 0 0 0 0 0 0
RPS6 0 0 0 0 0 0 0 0 0
TPT1 0 0 0 -0.0812894631269509 -0.0396293405877395 -0.0612160081909655 -0.186858005396905 0 0
RPS27 0 0.0780105955181867 0 0 0 0 0 0 0
RPS15A 0 0 0 0 0 0 0 0 0
RPL10 0 0 0 0 0 0 0 0 0
RPL13A 0 0.0034264036265495 0 0 0 0 0 0 0
