0034-anti-human-CD3 0048-anti-human-CD45 0072-anti-human-CD4 0100-anti-human-CD20 0052-anti-human-CD33 0064-anti-human-CD123 0081-anti-human-CD14 0136-anti-human-IgM 0159-anti-human-HLADR 0066-anti-human-CD7
(Intercept) 2.92314152764043 1.83915285584668 2.73135492217591 0.588146064478816 1.97655877877225 0.932658974695363 1.31762509403521 0.0747122438781912 2.58728385371408 5.17542250731851
CCL5 0.0754016395851498 0.0105890369612827 0.0264337891908448 0 0 0 0 0 0 0.0456955488409628
CD8A 0 0 -0.124422560076489 0 -0.0056170358954563 0 -0.00161127713346473 0 0 0
CD8B -0.0787261090553734 0.0129447750234972 -0.222447036300355 0 0 0 0 0 0 0.0241429742331834
GZMH 0 0 0 0 -0.0315890377115658 -0.00335419599738598 0 0 -0.0154759100960617 -0.0548554320377482
NKG7 0.0278248229935511 0 -0.0157466197089521 0 0 0 0 0 0 0.0302300303767793
CST7 0.0177102079428057 0 0 0 0 0 0 0 0 0
GZMK 0.00469367720057684 0.00333871378735806 -0.012236027994619 0 0.0143151174356405 0.00111125677082246 0 0 0.0168055154848574 -0.0510838282871939
GZMA 0 0 0.0344378282088902 0 -0.00921706247803591 0 0 0 0 -0.0188765905638755
CTSW -0.0461488599054501 0 -0.315552495997676 0 0 0 0 0 0 0.00499354100891079
DUSP2 0.0538140334630537 0.0514170993951752 -0.0911874878733078 0 0.0107896540540695 0 0 0 0.0318298225194589 0.16089068309549
GNLY -0.00752426883972007 0 0.0290049631632088 0 0.00771904553572749 0 0 0 0 0.0910352662826146
GZMM -0.0170812591915434 0 0 0 -0.0606579314832069 0 0 0 0 -0.0385218160095336
IL32 0.115242898176442 0 0 0 0.0616025788218084 0 0 0 0 0
LYAR -0.00411372856568584 0 0 0 0 0 0.0102337108748115 0 0 0
CD3E 0 0 0 0 0 0 0 0 0 0
CD3D 0.030790557795995 0 -0.00507382169934486 0 0 0 0 0 0 0
CD3G 0 0 0 0 -0.0516858738128149 0 0 0 0 -0.0306884352964684
FGFBP2 0 0 -0.000949019290704032 0 0 -0.000987482168650411 0 0 0 -0.0609768054390421
CMC1 0.0980781923957578 0 0.138370751505435 0 0 0 0 0 0 0
C12orf75 0 0 -0.287529795831426 0 -0.0667526491878637 0 0 0 0 -0.0712376822752152
KLRD1 0 0 0 0 0 0 0 0 0 0
KLRG1 0.26320243598174 0 0.216514662633374 0 0 0 0 0 0 0
GZMB 0.0336048141478078 0 0.0118598056653958 0 0 -0.00607792466639267 0 0 -0.00031840267346014 0
SYNE2 0.127361597641516 0 0.204333566854211 0 0 0 0 0 0 -0.161058278011292
HOPX -0.469302177669441 -0.00374626644883535 -1.66306293192037e-05 0 0 0 0 0 -0.0455522395851998 0
IFITM1 0.0670054198705918 0 0 0 0.0307667551532499 0 0 0 0 0.0172090527098399
LITAF 0 0 0 0 0 0 0 0 0 0.00189264390128722
CD99 0 0 0.000886787219869353 0 0 0 0 0 0 0
HCST -0.0452119277674168 0 -0.159302584040765 0 0 0 0 0 0 0
TUBA4A 0.527646848299489 0.102582989151278 0.552953962476727 0 0 0 0 0 0 0.295218871336148
