0034-anti-human-CD3 0048-anti-human-CD45 0072-anti-human-CD4 0100-anti-human-CD20 0052-anti-human-CD33 0064-anti-human-CD123 0081-anti-human-CD14 0136-anti-human-IgM 0159-anti-human-HLADR 0066-anti-human-CD7
(Intercept) 2.88425068220474 1.44013497073775 2.20923912432191 1.06094357002046 1.18054467717319 0.468415575153609 1.04022343802705 0.053632075334218 2.23057460550421 4.04305107619936
CCL5 0.0509281886875452 0.021455986922658 0.0675443532770384 0.00602331183104587 0.0150199023993941 0.00172818893330934 0.0125520922375534 0 0.0261717653978003 0.0409240945835696
CD8A 0 0 0.0173323537378404 -0.0025508344582949 0.00203808461044111 0 0 0 0 0.0113442767533436
CD8B -0.0554230550803294 0.0173910513375608 -0.431360635232662 0 0 0 0 0 -0.0002747685060737 0.063896242440388
GZMH 0.0554615872817304 -0.00767901435527177 0 -0.0136395708799581 -0.0135765258258799 0 0 0 0 -0.150569065302028
NKG7 0.0682256495108887 0.00912481898527771 -0.00184142828719901 0 0 0 0 0 0 0.129675641313618
CST7 0.0181711894547152 0.0182866148399458 0 0 0 0 0 0 0 0.0104953378269823
GZMK -0.0121433602025771 0.0191272321806429 -0.0735225729964093 0 0 0 0 0 0 -0.00178653823652028
GZMA 0 0 0.0849223930649987 0 0 0 0 0 0 -0.077776755020594
CTSW 0 0 -0.268043566015676 0 0 0 0 0 0 0
DUSP2 0.0477499562579041 0.00776195322482747 0 0.000957972653925494 0 0 0 0 0.0271210823653353 0.0422847689245145
GNLY 0 0 0.0534694081458279 0 0.0049656411624053 0 0 0 0 0.015465917890735
GZMM 0 0 0 0 -0.0169981088997352 0 0 0 0 0
IL32 0 0 0 0 0.0122991806526294 0 0 0 0 0
LYAR 0 0 0 0 0 0 0 0 0 0.0172604894010529
CD3E 0 0 0 0 0 0 0 0 0 0
CD3D 0 0 -0.0271246780961597 0 0 0 0 0 0 0
CD3G 0.202630586830203 0.0473802427422057 0 0 0 0 0 0 0 0
FGFBP2 0 0 0 0 0 0 0 0 -0.000598152239001901 -0.0606945689190258
CMC1 0 -0.00538228458988391 0.220395808545188 0 0 0 0 0 0 0.0349614408110945
