0032-anti-human-CD154 0072-anti-human-CD4 0047-anti-human-CD56 0034-anti-human-CD3 0050-anti-human-CD19 0081-anti-human-CD14 0046-anti-human-CD8 0083-anti-human-CD16 0390-anti-human-CD127
(Intercept) 0.611982849929308 2.93096049950738 0.383979953692024 2.98212315753339 1.03617773320336 0.716767949768421 0.862476842679454 1.33211787059096 1.1709940002349
JCHAIN 0 0 0 0 0 0.00359502211882271 0 0 0
IGHA1 0.124781847340628 0.177496398969833 0 0.17539714724783 1.02505760522136 0.0877884905336032 0 0.00319115052006516 0.109269413886737
IGHV4-34 0 0.000860083499470587 0 0 0 0 0 0.00850568771996416 0
IGKC 0 0 0 0 0.0139517909067243 0 0 0 0
IGHG1 0.0878643603228305 0 0 0 0.390809218981625 0.0390002931935136 -0.024003477036977 0 0
IGLC2 0 -0.0137939665352387 0 0 0.0743170860508696 0 0 0 0
IGKV4-1 0 0 0 0 -0.0157135123235779 0 0 0.00395885059663352 0
MZB1 0 0.0245373768066806 0.0262771631244425 0.00817533904472147 0 0 0 0 0
IGLC3 0 0 0 0 0 0 0 -0.0223761768445202 0
CCL4L2 0 -0.102367263201942 0 0 0 0 0 0 0
IGLL5 0 0 0 -0.00695060629358999 -0.216497265128224 0 0 0 0
IGKV3-20 0 0.028917600445115 0 0.0214155227716883 0.00585999629856544 0 0 0 0
CCL4 0 -0.0839733728645626 0 0 0 0 0.0149013111298317 0.0303098085118906 0
IGHV3-30 0 0 0 0 -0.00666530316501248 0 -0.00361136680928536 0 0
IGHV6-1 0 0.122343229987179 0 0.00449288134308558 -0.00117448083068913 0 0 0.0626228133618876 0
IGHA2 0 0 0 0.258637341523422 0.225307271528181 0 -0.11892174786229 0 0
HSP90B1 0 0 0 -0.121140301188392 0 0 -0.121295313427418 0 0
HBB 0 0.0407686016553516 0 0 0 0 -0.00333793994604079 0 0
IGHG3 0 0 0 -0.144512553255274 0.16475273225888 0 0 0 0
IGHG2 0 -0.488543361020508 0 -0.10016667221773 -0.566320704516637 0 0 0.0816008826687214 0
IGHM 0 0 0 0 0.0990146316380456 0 0 0 0
C1QB 0 0.134276469802621 0 0.0971578438578631 0 0 0 0 0
IGHV3-23 0 0 0 0 0.0159643503253757 0 0 0 0
HBA2 0 -0.0356640397198294 0 0 0 0 0 0 0
IGKV3-15 0 0 0 0.0211137471304586 0.015768801580551 0 0 0.00216484016969394 0
HBA1 0 0 0.0751584997228018 0 0 0 0 0.0463938065111811 0
C1QA 0 0 0 0 0 0 0.00235745173214846 0.0106059994716505 0
IGHG4 1.34152545515731 1.68632890337606 0.561796774438621 2.38931038389006 4.08538489339848 0.185468609626687 0 0.985009909590681 0.867247632727236
DERL3 0 -0.910016415264977 0 -0.910557496971529 0 0 0 0 0
LYPD2 0 -0.0670439317718737 0 0 0 -0.100432415049842 0.01724955352434 0.0980433894041089 0
ITM2C 0 0 0 -0.0228409732864728 0 0 -0.0726742840145347 0 0
IFI27 0 0.307914900370527 0 0 0.0652457008395319 0 0 -0.00397203981014932 0.00472044959863952
TXNDC5 0 0.679818994201373 0 0 0.771978962849457 0 -0.366438442171624 0.290949564860882 0
C1QC 0 -0.353710462438383 0 0 -0.0360742699259606 0 0.172206867800715 0.436670704322199 0
IGKV1-39 0 0.063681291418746 0 0 0.192357462564515 0 0 0 0
TNFRSF17 0 0 0 0 1.75162752842916 0 0 -0.46116493318569 0
IGLV1-51 0 -0.000123118125209963 0 -0.0094125898678569 0.00352851375453469 0 0 0 0
IGLV3-19 0 0.0180787202535761 0 0.00569549168966549 0 0 0 0 0
TRBV12-3 0 0.0062393831634314 0 -0.0215921224979971 0 0 -0.0162132207774396 0 0
TRBV7-2 0 0.0152775839439739 0 0.000247404744719602 0 0 0 0.00547543347766594 0
S100A8 0.0346823355447714 0.0573401076356334 0 0.0710240514576349 0.0342780395311368 0.0526891337014132 0.031078690651593 0 0
IGLV3-21 0 -0.000492286856320596 0 0.013697702004279 0.0958127742764551 0.00265765865826266 0 0 0
IGHV1-46 0 0.0157058676092337 0 0 0 0 0 0.0148496248456221 0
IGHV3-48 0 -0.0302081411857467 0 0 0 0 0 -0.00517252384736943 0
SEC11C 0 0.501765169342697 0 0.14292458447158 0 0 0 0 0
IGLV2-8 0 0 0 0 0 0 0.00604128508130297 0 0
IGKV1-5 0 0.0107815335117926 0 0.00471920117835777 0.0918973206864978 0 0 0.0068639970995164 0.0135214439857134
TRBV4-1 0 0.0683624996961434 0 0.033380813545868 0 0 -0.0488908338098984 -0.001228929283573 0
IGHV4-59 0 0.0350897365996185 0 0 -0.00681331442984098 0 0 0 0
CCL5 0.00658358962766293 0.0627159489084276 0 0.0739750900106978 0.0253993274463865 0.0135305989214195 0 0.00907000047873283 0
CD8A 0 0 0 0 0 0 0.189290758025802 -0.0120546492920915 0
CD8B 0 -0.474120127333951 -0.0108401545963952 -0.0457983035160128 0 0 0.414588941576361 0 0
GZMH 0 0 -0.0178410413744397 0.0819796822655041 0 0 0 -0.135402973192158 0
NKG7 0 -0.00249442882575423 1.03192937473657e-05 0.0410947394898666 0 0 0.0663890628324061 0 0
CST7 0 0 0 0 0 0 0 0 0
GZMK 0 -0.0807470102619386 0.027653025388518 -0.00203093089465202 0 0 0.0478775795623649 0 0
GZMA 0 0.0530872797181194 0 0 0 0 0 0 0
CTSW 0 -0.31704465239393 0 0 0 0 0.16590408967795 0 0
DUSP2 0 0 0 0.0405553146946298 0 0 0.0726188118110446 0 0
GNLY 0 0.0414033334708968 0.0647329017313555 0 0 0 -0.0369172733940359 0.0712623350169587 0
GZMM 0 0 0 0 0 0 0 0 0
IL32 0 0 0 0 0 0 0 0 0
