"","x"
"1","S100A8"
"2","IGKV3-11"
"3","S100A9"
"4","IGKV3-20"
"5","IGKV1-5"
"6","IGHV4-39"
"7","LYZ"
"8","IGLV2-14"
"9","IGKV4-1"
"10","IGKV3-15"
"11","IGHV3-23"
"12","CST3"
"13","IGHV3-30"
"14","IGLV1-40"
"15","IGHV1-18"
"16","PPBP"
"17","IGHV4-34"
"18","IGLV1-51"
"19","IGLV3-19"
"20","CD74"
"21","HLA-DRA"
"22","IGHV1-69D"
"23","IGLV3-21"
"24","IGLV2-8"
"25","IGHV3-21"
"26","IGHV2-5"
"27","IGHV3-7"
"28","TRBV7-2"
"29","IGLV3-1"
"30","IGLV1-47"
"31","IGHV4-4"
"32","IGHV3-15"
"33","HLA-DRB1"
"34","LYPD2"
"35","S100A12"
"36","IGHV1-3"
"37","IGHV1-2"
"38","FOS"
"39","TRBV12-3"
"40","HLA-DPA1"
"41","FCN1"
"42","IGHV3-11"
"43","HLA-DPB1"
"44","TRBV10-3"
"45","FTH1"
"46","IGHV5-51"
"47","IGKV2-30"
"48","CLEC10A"
"49","TRBV7-9"
"50","CD79A"
"51","MS4A1"
"52","TCL1A"
"53","HLA-DQB1"
"54","HLA-DQA1"
"55","IGHM"
"56","CD79B"
"57","BANK1"
"58","HLA-DRB5"
"59","LINC00926"
"60","MAL"
"61","LDHB"
"62","LEF1"
"63","LTB"
"64","IL7R"
"65","NOSIP"
"66","CD40LG"
"67","INPP4B"
"68","CD4"
"69","TRAT1"
"70","CCR7"
"71","TCF7"
"72","AQP3"
"73","FHIT"
"74","GPR183"
"75","LST1"
"76","AIF1"
"77","SAT1"
"78","TYROBP"
"79","SERPINA1"
"80","SPI1"
"81","CTSS"
"82","TYMP"
"83","GNLY"
"84","GZMB"
"85","SPON2"
"86","PRF1"
"87","CLIC3"
"88","NKG7"
"89","MYOM2"
"90","FGFBP2"
"91","CCL4"
"92","FCGR3A"
"93","KLRD1"
"94","CST7"
"95","HOPX"
"96","SH2D1B"
"97","CTSW"
"98","CD8B"
"99","CD8A"
"100","CCL5"
"101","GZMK"
"102","DUSP2"
"103","TRAV1-2"
"104","KLRG1"
"105","GZMA"
"106","NCR3"
"107","LYAR"
"108","GZMH"
"109","KLRB1"
"110","NCAM1"
"111","CD3E"
"112","CD19"
"113","CD14"
"114","ITGAX"
"115","NECTIN2"
"116","ITGAL"
"117","IL3RA"
"118","FUT4"
"119","PVR"
"120","KIR3DL1"
"121","CD163"
"122","SIGLEC1"
"123","CCR3"
"124","CCR4"
"125","CCR6"
"126","CD1C"
"127","CD2"
"128","CR2"
"129","CD22"
"130","CD226"
"131","CD244"
"132","IL2RA"
"133","TNFRSF13C"
"134","CD27"
"135","ICOS"
"136","PDCD1"
"137","ITGB1"
"138","LAIR1"
"139","PECAM1"
"140","KLRK1"
"141","FCGR2A"
"142","SIGLEC7"
"143","CD33"
"144","NCR1"
"145","CR1"
"146","CD36"
"147","HAVCR2"
"148","CD38"
"149","ENTPD1"
"150","ITGA2B"
"151","PTPRC"
"152","CD47"
"153","ITGA2"
"154","ITGA4"
"155","ITGA6"
"156","CD5"
"157","CD52"
"158","ICAM1"
"159","B3GAT1"
"160","SELL"
"161","SELP"
"162","FCGR1A"
"163","CD69"
"164","CD7"
"165","TFRC"
"166","NT5E"
"167","FAS"
"168","CD96"
"169","CLEC12A"
"170","IGHD"
"171","TRDV2"
"172","TRAC"
"173","TIGIT"
"174","CXCR3"
"175","CXCR5"
"176","CD24"
"177","THBD"
"178","FCGR2B"
"179","TRBC1"
"180","TRBC2"
"181","CD3D"
"182","CD3G"
"183","FCER1A"
"184","FCER1G"
"185","VEGFA"
"186","VEGFB"
