"","x"
"1","S100A8"
"2","IGKV3-20"
"3","IGKV4-1"
"4","IGLV2-14"
"5","S100A9"
"6","IGHV4-39"
"7","IGKV1-5"
"8","IGHV3-23"
"9","HLA-DQA1"
"10","IGLV1-44"
"11","LYZ"
"12","CD74"
"13","HLA-DRA"
"14","IGHV3-7"
"15","TRBV7-2"
"16","IGHV3-21"
"17","IGLV1-40"
"18","IGHV3-33"
"19","IGKV3-11"
"20","IGHV4-34"
"21","IGHV1-69D"
"22","IGKV3-15"
"23","CST3"
"24","HLA-DRB1"
"25","IGLV1-51"
"26","IGHV3-30"
"27","TRBV10-3"
"28","TRBV4-1"
"29","IGHV5-51"
"30","IGLV3-1"
"31","IGKV2-30"
"32","TRBV6-2"
"33","FOS"
"34","PPBP"
"35","IGLV2-23"
"36","TRBV13"
"37","TRBV24-1"
"38","TRBV3-1"
"39","TRBV12-3"
"40","IGHV3-53"
"41","TRBV14"
"42","IGHV1-18"
"43","TRBV12-4"
"44","TRBV11-2"
"45","TRBV7-3"
"46","IGLV6-57"
"47","TRBV12-5"
"48","FTL"
"49","TRBV6-6"
"50","HLA-DPA1"
"51","LTB"
"52","IL7R"
"53","TCF7"
"54","LDHB"
"55","AQP3"
"56","LEF1"
"57","MAL"
"58","NOSIP"
"59","SARAF"
"60","CCR7"
"61","TRAT1"
"62","TSHZ2"
"63","RCAN3"
"64","INPP4B"
"65","GPR183"
"66","CD8B"
"67","CD8A"
"68","CCL5"
"69","NKG7"
"70","CST7"
"71","LINC02446"
"72","CTSW"
"73","GZMM"
"74","GZMH"
"75","GZMA"
"76","PRF1"
"77","FGFBP2"
"78","KLRD1"
"79","GZMB"
"80","DUSP2"
"81","GNLY"
"82","HOPX"
"83","SPON2"
"84","CLIC3"
"85","FCGR3A"
"86","KLRF1"
"87","TRDC"
"88","FCN1"
"89","SAT1"
"90","TYROBP"
"91","S100A12"
"92","SERPINA1"
"93","AIF1"
"94","LST1"
"95","VCAN"
"96","CTSS"
"97","SPI1"
"98","CD79A"
"99","MS4A1"
"100","TCL1A"
"101","IGHM"
"102","CD79B"
"103","LINC00926"
"104","FCER2"
"105","FAM129C"
"106","BANK1"
"107","HLA-DPB1"
"108","JCHAIN"
"109","FCRLA"
"110","IGKC"
"111","RALGPS2"
"112","FCER1A"
"113","CLEC10A"
"114","PLD4"
"115","HLA-DRB5"
"116","CPVL"
"117","HLA-DMA"
"118","HLA-DQB1"
"119","CD4"
"120","NCAM1"
"121","CD3E"
"122","CD19"
"123","CD14"
"124","ITGAX"
"125","NECTIN2"
"126","ITGAL"
"127","IL3RA"
"128","FUT4"
"129","PVR"
"130","KIR3DL1"
"131","CD163"
"132","SIGLEC1"
"133","ITGB2"
"134","CCR3"
"135","CCR4"
"136","CCR6"
"137","CD1C"
"138","CD2"
"139","CR2"
"140","CD22"
"141","CD226"
"142","CD244"
"143","IL2RA"
"144","TNFRSF13C"
"145","CD27"
"146","ICOS"
"147","PDCD1"
"148","ITGB1"
"149","LAIR1"
"150","PECAM1"
"151","KLRK1"
"152","FCGR2A"
"153","SIGLEC7"
"154","CD33"
"155","NCR1"
"156","NCR3"
"157","CR1"
"158","CD36"
"159","HAVCR2"
"160","CD38"
"161","ENTPD1"
"162","ITGA2B"
"163","PTPRC"
"164","CD47"
"165","ITGA2"
"166","ITGA4"
"167","ITGA6"
"168","CD5"
"169","CD52"
"170","ICAM1"
"171","B3GAT1"
"172","SELL"
"173","SELP"
"174","FCGR1A"
"175","CD69"
"176","CD7"
"177","TFRC"
"178","NT5E"
"179","FAS"
"180","CD96"
"181","CLEC12A"
"182","IGHD"
"183","KLRG1"
"184","TRDV2"
"185","TRAC"
"186","TIGIT"
"187","CXCR3"
"188","CXCR5"
"189","CD24"
"190","THBD"
"191","FCGR2B"
"192","TRBC1"
"193","TRBC2"
"194","CD3D"
"195","CD3G"
"196","FCER1G"
"197","VEGFA"
"198","VEGFB"
