"","x"
"1","HBB"
"2","IGKV3-20"
"3","IGKV1-5"
"4","IGKV3-11"
"5","IGKV3-15"
"6","IGKV4-1"
"7","IGLV1-40"
"8","HBA2"
"9","IGHV3-7"
"10","HBA1"
"11","IGLV1-51"
"12","IGHV3-23"
"13","IGHV5-51"
"14","IGLV1-44"
"15","IGHV3-21"
"16","IGLV3-19"
"17","IGLV3-25"
"18","IGHV1-3"
"19","IGLV2-23"
"20","IGHV4-39"
"21","IGHV1-46"
"22","IGHV1-18"
"23","IGHV3-15"
"24","TRBV7-2"
"25","IGHV3-11"
"26","IGLV2-11"
"27","IGLV1-47"
"28","LYPD2"
"29","IGLV4-69"
"30","IGLV2-14"
"31","IGHV1-69D"
"32","S100A9"
"33","IGKV1-8"
"34","IGKV2-30"
"35","C1QB"
"36","IGHV3-30"
"37","S100A8"
"38","IGKV1-16"
"39","IGHV5-10-1"
"40","FCER1A"
"41","IGLV2-8"
"42","IGKV2-29"
"43","C1QA"
"44","TRBV4-1"
"45","TRBV12-4"
"46","TRBV7-3"
"47","PPBP"
"48","IGHV2-5"
"49","IGHV3-33"
"50","CD79A"
"51","MS4A1"
"52","TCL1A"
"53","CD74"
"54","HLA-DRA"
"55","CD79B"
"56","IGHM"
"57","HLA-DQA2"
"58","FCER2"
"59","BANK1"
"60","HLA-DPB1"
"61","HLA-DRB5"
"62","FAM129C"
"63","LINC00926"
"64","HLA-DPA1"
"65","LDHB"
"66","TCF7"
"67","LTB"
"68","MAL"
"69","LEF1"
"70","IL7R"
"71","CD3D"
"72","CCR7"
"73","CD3G"
"74","NOSIP"
"75","AQP3"
"76","CAMK4"
"77","CD27"
"78","CD3E"
"79","FLT3LG"
"80","LYZ"
"81","CST3"
"82","FOS"
"83","AIF1"
"84","LST1"
"85","SERPINA1"
"86","FCN1"
"87","SPI1"
"88","TYMP"
"89","SAT1"
"90","S100A12"
"91","VCAN"
"92","NEAT1"
"93","GNLY"
"94","GZMB"
"95","MYOM2"
"96","SPON2"
"97","PRF1"
"98","NKG7"
"99","CLIC3"
"100","CST7"
"101","FGFBP2"
"102","CTSW"
"103","KLRD1"
"104","GZMA"
"105","HOPX"
"106","KLRF1"
"107","CD247"
"108","CD8B"
"109","CD8A"
"110","GZMK"
"111","TRAV1-2"
"112","LINC02446"
"113","IL32"
"114","DUSP2"
"115","LYAR"
"116","KLRG1"
"117","CCL5"
"118","NELL2"
"119","CD4"
"120","NCAM1"
"121","CD19"
"122","CD14"
"123","ITGAX"
"124","FCGR3A"
"125","NECTIN2"
"126","ITGAL"
"127","IL3RA"
"128","FUT4"
"129","PVR"
"130","KIR3DL1"
"131","CD163"
"132","SIGLEC1"
"133","ITGB2"
"134","CCR3"
"135","CCR4"
"136","CCR6"
"137","CD1C"
"138","CD2"
"139","CR2"
"140","CD22"
"141","CD226"
"142","CD244"
"143","IL2RA"
"144","TNFRSF13C"
"145","ICOS"
"146","PDCD1"
"147","ITGB1"
"148","LAIR1"
"149","PECAM1"
"150","KLRK1"
"151","FCGR2A"
"152","SIGLEC7"
"153","CD33"
"154","NCR1"
"155","NCR3"
"156","CR1"
"157","CD36"
"158","HAVCR2"
"159","CD38"
"160","ENTPD1"
"161","ITGA2B"
"162","PTPRC"
"163","CD47"
"164","ITGA2"
"165","ITGA4"
"166","ITGA6"
"167","CD5"
"168","CD52"
"169","ICAM1"
"170","B3GAT1"
"171","SELL"
"172","SELP"
"173","FCGR1A"
"174","CD69"
"175","CD7"
"176","TFRC"
"177","NT5E"
"178","FAS"
"179","CD96"
"180","CLEC12A"
"181","IGHD"
"182","TRDV2"
"183","TRAC"
"184","TIGIT"
"185","CXCR3"
"186","CXCR5"
"187","CD24"
"188","THBD"
"189","FCGR2B"
"190","TRBC1"
"191","TRBC2"
"192","FCER1G"
"193","VEGFA"
"194","VEGFB"
